año,trimestre,provincia,accesos_tv_por_suscripción_(vrf)
2014,4,Entre Ríos,151868
2014,4,Formosa,46590
2014,4,Jujuy,79331
2014,4,La Pampa,79733
2014,4,La Rioja,26337
2014,4,Mendoza,116149
2014,4,Misiones,112595
2014,4,Neuquén,154765
2014,4,Río Negro,58053
2014,4,Salta,166843
2014,4,San Juan,42970
2014,4,San Luis,55289
2014,4,Santa Cruz,44012
2014,4,Santa Fe,652071
2014,4,Santiago del Estero,98334
2014,4,Tierra del Fuego,34741
2014,4,Tucumán,120037
2014,3,Buenos Aires,2479337
2014,3,Capital Federal,689381
2014,3,Catamarca,27544
2014,3,Chaco,85608
2014,3,Chubut,68472
2014,3,Córdoba,975850
2014,3,Corrientes,89802
2014,3,Entre Ríos,150597
2014,3,Formosa,46428
2014,3,Jujuy,73976
2014,3,La Pampa,77927
2014,3,La Rioja,24594
2014,3,Mendoza,116918
2014,3,Misiones,115847
2014,3,Neuquén,154805
2014,3,Río Negro,58165
2014,3,Salta,166681
2014,3,San Juan,42753
2014,3,San Luis,54824
2014,3,Santa Cruz,43728
2014,3,Santa Fe,654067
2014,3,Santiago del Estero,97796
2014,3,Tierra del Fuego,35025
2014,3,Tucumán,119720
2014,2,Buenos Aires,2477696
2014,2,Capital Federal,692311
2014,2,Catamarca,27382
2014,2,Chaco,85726
2014,2,Chubut,68578
2014,2,Córdoba,974174
2014,2,Corrientes,88423
2014,2,Entre Ríos,148123
2014,2,Formosa,46553
2014,2,Jujuy,71984
2014,2,La Pampa,76732
2014,2,La Rioja,25071
2014,2,Mendoza,116281
2014,2,Misiones,114366
2014,2,Neuquén,154762
2014,2,Río Negro,58097
2014,2,Salta,166019
2014,2,San Juan,42146
2014,2,San Luis,55697
2014,2,Santa Cruz,46547
2014,2,Santa Fe,650114
2014,2,Santiago del Estero,96849
2014,2,Tierra del Fuego,34726
2014,2,Tucumán,120165
