provincia,partido,localidad,población,adsl,cablemódem,dial_up,fibra_óptica,satelital,wireless,telefonía_fija,3g,4g,link,latitud,longitud
NEUQUEN,Añelo,Aguada San Roque,135,--,--,--,--,--,--,--,SI,SI,58014005,-37,-68
NEUQUEN,Añelo,Añelo,2449,--,SI,--,SI,SI,SI,SI,SI,SI,58014010,-38,-68
NEUQUEN,Añelo,San Patricio del Chañar,6474,--,SI,--,SI,SI,SI,SI,SI,SI,58014020,-38,-68
NEUQUEN,Catan LilL,Las Coloradas,873,--,--,SI,--,SI,SI,SI,--,--,58021010,-39,-70
NEUQUEN,Chos Malal,Chos Malal,13092,SI,--,SI,SI,SI,SI,SI,SI,SI,58042010,-37,-70
NEUQUEN,Chos Malal,Tricao Malal,533,--,--,--,--,--,SI,SI,--,--,58042020,-37,-70
NEUQUEN,Chos Malal,Villa del Curi Leuvú,148,--,--,--,--,--,--,--,--,--,58042030,-37,-70
BUENOS AIRES,Chacabuco,Chacabuco,38418,SI,SI,SI,SI,--,SI,SI,SI,SI,6210020,-34,-60
BUENOS AIRES,Chacabuco,Los Angeles,54,--,--,--,--,--,--,--,SI,SI,6210030,-34,-60
BUENOS AIRES,Chacabuco,O'Higgins,1206,SI,--,--,SI,--,SI,SI,SI,SI,6210040,-34,-60
BUENOS AIRES,Chacabuco,Rawson,2123,SI,--,--,SI,--,SI,SI,SI,SI,6210050,-34,-60
BUENOS AIRES,Chascomús,Barrio Lomas Altas,61,--,--,--,--,--,--,--,--,--,6217003,-35,-58
BUENOS AIRES,Chascomús,Barrio San Cayetano,0,--,--,--,SI,--,--,--,SI,SI,6217020,-35,-58
BUENOS AIRES,Chascomús,Chascomús,33607,SI,SI,SI,SI,SI,--,SI,SI,SI,6217010,-35,-58
BUENOS AIRES,Chascomús,Laguna Vitel,41,--,--,--,--,--,SI,--,SI,SI,6217015,-35,-58
BUENOS AIRES,Chascomús,Manuel J. Cobo (Est. Lezama),4647,SI,SI,--,SI,--,SI,SI,SI,SI,6217020,-35,-57
BUENOS AIRES,Chascomús,Villa Parque Girado,93,--,--,--,--,--,--,--,SI,SI,6217030,-35,-58
BUENOS AIRES,Chivilcoy,Benitez,68,--,--,--,--,--,SI,--,--,--,6224005,-34,-60
CORDOBA,Pocho,Los Talares,157,--,--,--,--,--,SI,--,--,--,14077030,-31,-65
BUENOS AIRES,Pellegrini,Pellegrini,5115,SI,SI,SI,--,SI,SI,SI,SI,SI,6616030,-36,-63
BUENOS AIRES,Pergamino,Acevedo,1499,SI,SI,--,--,--,SI,SI,SI,SI,6623010,-33,-60
BUENOS AIRES,Pergamino,Fontezuela,365,SI,--,--,SI,--,SI,SI,--,--,6623020,-33,-60
BUENOS AIRES,Pergamino,Guerrico,774,--,SI,--,--,--,SI,--,SI,--,6623030,-33,-60
BUENOS AIRES,Pergamino,Juan A. de la Peña,211,--,--,--,--,--,SI,--,--,--,6623040,-33,-60
BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),976,SI,--,--,SI,--,SI,SI,SI,SI,6623050,-33,-60
BUENOS AIRES,Pergamino,La Violeta,1041,SI,--,--,--,--,--,SI,SI,SI,6623060,-33,-60
BUENOS AIRES,Pergamino,Manuel Ocampo,1078,--,--,--,SI,--,SI,SI,SI,SI,6623070,-33,-60
BUENOS AIRES,Pergamino,Mariano Benítez,168,--,--,--,--,--,--,SI,--,--,6623080,-33,-60
BUENOS AIRES,Pergamino,Mariano H. Alfonzo (Est. San Patricio),993,--,--,--,SI,SI,--,SI,SI,SI,6623090,-33,-60
BUENOS AIRES,Pergamino,Pergamino,91399,SI,SI,SI,SI,SI,SI,SI,SI,SI,6623100,-33,-60
BUENOS AIRES,Pergamino,Pinzón,393,--,--,--,--,--,SI,--,--,--,6623110,-33,-60
BUENOS AIRES,Chivilcoy,Chivilcoy,58152,SI,SI,SI,SI,SI,SI,SI,SI,SI,6224010,-34,-60
BUENOS AIRES,Chivilcoy,Emilio Ayarza,87,--,--,--,--,--,SI,--,--,--,6224020,-34,-60
BUENOS AIRES,Chivilcoy,Gorostiaga,324,SI,--,--,--,--,SI,--,--,--,6224030,-34,-59
BUENOS AIRES,Chivilcoy,La Rica,118,SI,--,--,--,--,SI,SI,--,--,6224040,-34,-59
BUENOS AIRES,Chivilcoy,Moquehuá,2130,--,SI,--,SI,--,SI,SI,SI,SI,6224050,-35,-59
BUENOS AIRES,Chivilcoy,Ramón Biaus,179,SI,--,--,--,--,SI,SI,--,--,6224060,-35,-59
BUENOS AIRES,Chivilcoy,San Sebastián,166,SI,--,--,--,--,SI,SI,--,--,6224070,-34,-59
BUENOS AIRES,Colón,Colón,23206,SI,SI,--,SI,--,SI,SI,SI,SI,6175010,-33,-61
BUENOS AIRES,Colón,El Arbolito,0,--,--,--,--,--,--,SI,--,--,6175010,-33,-60
BUENOS AIRES,Colón,Pearson,257,--,--,--,--,--,--,SI,--,--,6175030,-33,-60
BUENOS AIRES,Colón,Sarasa,71,--,--,--,--,--,SI,--,--,--,6175040,-34,-61
BUENOS AIRES,Colón,Villa Manuel Pomar,199,--,--,--,--,--,--,--,--,--,6175020,-33,-60
BUENOS AIRES,Coronel de Marina L. Rosales,Bajo Hondo,164,--,--,--,SI,--,SI,SI,SI,SI,6182010,-38,-61
CABA,COMUNA 04,PARQUE PATRICIOS,40985,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34,-58
