año,trimestre,provincia,accesos_tv_por_suscripción_por_cada_100_hab,accesos_tv_por_suscripción_por_cada_100_hogares
2016,4,Capital Federal,23,61
2016,4,Catamarca,7,29
2016,4,Chaco,7,28
2016,4,Chubut,12,41
2016,4,Córdoba,27,91
2016,4,Corrientes,8,32
2016,4,Entre Ríos,11,39
2016,4,Formosa,7,31
2016,4,Jujuy,11,43
2016,4,La Pampa,29,88
2016,4,La Rioja,6,25
2016,4,Mendoza,6,22
2016,4,Misiones,10,37
2016,4,Neuquén,17,59
2016,4,Río Negro,7,24
2016,4,Salta,12,52
2016,4,San Juan,5,20
2016,4,San Luis,11,39
2016,4,Santa Cruz,15,52
2016,4,Santa Fe,18,57
2016,4,Santiago del Estero,10,42
2016,4,Tierra del Fuego,24,83
2016,4,Tucumán,7,31
2016,3,Buenos Aires,14,49
2016,3,Capital Federal,23,61
2016,3,Catamarca,7,29
2016,3,Chaco,7,29
2016,3,Chubut,12,41
2016,3,Córdoba,28,91
2016,3,Corrientes,8,32
2016,3,Entre Ríos,11,38
2016,3,Formosa,7,31
2016,3,Jujuy,11,44
2016,3,La Pampa,26,79
2016,3,La Rioja,6,24
2016,3,Mendoza,6,21
2016,3,Misiones,10,37
2016,3,Neuquén,17,59
2016,3,Río Negro,7,25
2016,3,Salta,12,52
2016,3,San Juan,5,22
2016,3,San Luis,11,39
2016,3,Santa Cruz,15,52
2016,3,Santa Fe,17,57
2016,3,Santiago del Estero,10,42
2016,3,Tierra del Fuego,24,83
2016,3,Tucumán,7,31
2016,2,Buenos Aires,14,49
2016,2,Capital Federal,23,61
2016,2,Catamarca,7,29
2016,2,Chaco,8,30
2016,2,Chubut,12,41
2016,2,Córdoba,27,91
2016,2,Corrientes,8,32
2016,2,Entre Ríos,11,38
2016,2,Formosa,7,31
2016,2,Jujuy,11,45
2016,2,La Pampa,25,78
2016,2,La Rioja,6,24
2016,2,Mendoza,6,21
2016,2,Misiones,10,37
2016,2,Neuquén,17,59
2016,2,Río Negro,7,25
2016,2,Salta,12,53
2016,2,San Juan,5,22
2016,2,San Luis,11,39
2016,2,Santa Cruz,15,52
2016,2,Santa Fe,17,57
2016,2,Santiago del Estero,10,42
2016,2,Tierra del Fuego,24,82
2016,2,Tucumán,7,31
2016,1,Buenos Aires,14,48
2016,1,Capital Federal,23,61
2016,1,Catamarca,7,28
2016,1,Chaco,7,29
2016,1,Chubut,11,38
2016,1,Córdoba,27,90
2016,1,Corrientes,8,32
2016,1,Entre Ríos,11,38
2016,1,Formosa,7,31
2016,1,Jujuy,11,45
2016,1,La Pampa,25,78
2016,1,La Rioja,6,24
2016,1,Mendoza,6,21
2016,1,Misiones,10,36
