año,trimestre,provincia,accesos_por_cada_100_hogares
2015,4,Mendoza,32
2015,4,Misiones,28
2015,4,Neuquén,58
2015,4,Río Negro,46
2015,4,Salta,31
2015,4,San Juan,27
2015,4,San Luis,9
2015,4,Santa Cruz,27
2015,4,Santa Fe,52
2015,4,Santiago Del Estero,17
2015,4,Tierra Del Fuego,66
2015,4,Tucumán,37
2015,3,Buenos Aires,57
2015,3,Capital Federal,118
2015,3,Catamarca,25
2015,3,Chaco,27
2015,3,Chubut,36
2015,3,Córdoba,57
2015,3,Corrientes,30
2015,3,Entre Ríos,43
2015,3,Formosa,18
2015,3,Jujuy,21
2015,3,La Pampa,57
2015,3,La Rioja,17
2015,3,Mendoza,32
2015,3,Misiones,28
2015,3,Neuquén,54
2015,3,Río Negro,46
2015,3,Salta,31
2015,3,San Juan,27
2015,3,San Luis,9
2015,3,Santa Cruz,27
2015,3,Santa Fe,52
2015,3,Santiago Del Estero,17
2015,3,Tierra Del Fuego,74
2015,3,Tucumán,36
2015,2,Buenos Aires,56
2015,2,Capital Federal,116
2015,2,Catamarca,25
2015,2,Chaco,27
2015,2,Chubut,36
2015,2,Córdoba,55
2015,2,Corrientes,29
2015,2,Entre Ríos,42
2015,2,Formosa,18
2015,2,Jujuy,20
2015,2,La Pampa,56
2015,2,La Rioja,16
2015,2,Mendoza,32
2015,2,Misiones,27
2015,2,Neuquén,53
2015,2,Río Negro,45
2015,2,Salta,30
2015,2,San Juan,27
2015,2,San Luis,9
2015,2,Santa Cruz,27
2015,2,Santa Fe,51
2015,2,Santiago Del Estero,17
2015,2,Tierra Del Fuego,74
2015,2,Tucumán,35
2015,1,Buenos Aires,56
2015,1,Capital Federal,114
2015,1,Catamarca,25
2015,1,Chaco,26
2015,1,Chubut,37
2015,1,Córdoba,54
2015,1,Corrientes,28
2015,1,Entre Ríos,42
2015,1,Formosa,18
2015,1,Jujuy,19
2015,1,La Pampa,55
2015,1,La Rioja,16
2015,1,Mendoza,32
2015,1,Misiones,26
2015,1,Neuquén,51
2015,1,Río Negro,45
2015,1,Salta,30
2015,1,San Juan,27
2015,1,San Luis,9
2015,1,Santa Cruz,27
2015,1,Santa Fe,50
2015,1,Santiago Del Estero,17
2015,1,Tierra Del Fuego,74
2015,1,Tucumán,35
2014,4,Buenos Aires,56
2014,4,Capital Federal,114
2014,4,Catamarca,25
2014,4,Chaco,21
2014,4,Chubut,40
2014,4,Córdoba,54
2014,4,Corrientes,23
2014,4,Entre Ríos,36
2014,4,Formosa,17
2014,4,Jujuy,19
2014,4,La Pampa,51
2014,4,La Rioja,17
2014,4,Mendoza,32
2014,4,Misiones,24
2014,4,Neuquén,52
2014,4,Río Negro,45
2014,4,Salta,29
2014,4,San Juan,28
2014,4,San Luis,9
2014,4,Santa Cruz,27
2014,4,Santa Fe,49
2014,4,Santiago Del Estero,17
2014,4,Tierra Del Fuego,66
2014,4,Tucumán,35
2014,3,Buenos Aires,56
2014,3,Capital Federal,113
2014,3,Catamarca,24
2014,3,Chaco,21
2014,3,Chubut,40
2014,3,Córdoba,54
2014,3,Corrientes,22
2014,3,Entre Ríos,34
2014,3,Formosa,17
2014,3,Jujuy,18
2014,3,La Pampa,55
2014,3,La Rioja,16
2014,3,Mendoza,32
2014,3,Misiones,23
2014,3,Neuquén,56
2014,3,Río Negro,46
2014,3,Salta,29
2014,3,San Juan,27
2014,3,San Luis,9
2014,3,Santa Cruz,28
2014,3,Santa Fe,49
2014,3,Santiago Del Estero,16
2014,3,Tierra Del Fuego,65
2014,3,Tucumán,33
2014,2,Buenos Aires,55
2014,2,Capital Federal,113
2014,2,Catamarca,24
2014,2,Chaco,20
2014,2,Chubut,41
2014,2,Córdoba,53
2014,2,Corrientes,22
2014,2,Entre Ríos,34
2014,2,Formosa,17
2014,2,Jujuy,18
2014,2,La Pampa,49
2014,2,La Rioja,16
2014,2,Mendoza,32
2014,2,Misiones,23
2014,2,Neuquén,50
2014,2,Río Negro,45
2014,2,Salta,28
2014,2,San Juan,27
2014,2,San Luis,9
2014,2,Santa Cruz,29
2014,2,Santa Fe,48
2014,2,Santiago Del Estero,16
2014,2,Tierra Del Fuego,64
2014,2,Tucumán,33
2014,1,Buenos Aires,54
2014,1,Capital Federal,112
2014,1,Catamarca,24
2014,1,Chaco,20
2014,1,Chubut,41
2014,1,Córdoba,52
2014,1,Corrientes,22
2014,1,Entre Ríos,34
2014,1,Formosa,17
2014,1,Jujuy,18
2014,1,La Pampa,48
2014,1,La Rioja,16
2014,1,Mendoza,31
2014,1,Misiones,23
2014,1,Neuquén,49
2014,1,Río Negro,44
2014,1,Salta,28
2014,1,San Juan,27
2014,1,San Luis,9
2014,1,Santa Cruz,28
2014,1,Santa Fe,47
2014,1,Santiago Del Estero,16
2014,1,Tierra Del Fuego,63
2014,1,Tucumán,33
